Group,Correctness
Control,1
Control,0.857143
Control,1
Control,1
Control,0.857143
Control,1
Control,0.714286
Control,0.857143
Control,0.714286
Control,1
Control,1
Control,1
Control,0.857143
Control,0.857143
Control,1
Control,1
Control,0.857143
Control,0.714286
Control,0.857143
Control,0.714286
Control,0.857143
Experimental,0.857143
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,0.857143
Experimental,0.857143
Experimental,1
Experimental,1
Experimental,0.857143
Experimental,1
Experimental,0.857143
Experimental,1
Experimental,1
Experimental,0.714286
Experimental,1