Group,Efficiency
Control,844.236
Control,987.864
Control,873.588
Control,1195.944
Control,564.672
Control,633.117
Control,936.322
Control,1007.546
Control,832.285
Control,1070.176
Control,890.276
Control,583.722
Control,1448.034
Control,536.951
Control,945.481
Control,648.862
Control,660.536
Control,1001.765
Control,1193.112
Control,769.98
Control,767.626
Experimental,799.7
Experimental,1048.388
Experimental,485.362
Experimental,628.372
Experimental,523.029
Experimental,563.96
Experimental,494.732
Experimental,545.084
Experimental,591.294
Experimental,546.162
Experimental,409.008
Experimental,686.441
Experimental,634.274
Experimental,658.286
Experimental,927.663
Experimental,878.826
Experimental,647.17
Experimental,465.629
Experimental,553.959
Experimental,575.775
Experimental,469.194